ID,datetime,siteid,offerid,category,merchant,countrycode,browserid,devid,click
IDxwGwoOt,2017-01-20 10:21:20,8737840,545406,97,29624796,f,Firefox,Mobile,0
IDfJJzhKr,2017-01-20 10:25:25,8737840,957066,97,29624796,f,Firefox,Mobile,0
ID1DUaA5C,2017-01-18 10:14:43,1711284,611099,97,29624796,d,Edge,Tablet,1
IDY1fGONy,2017-01-15 07:12:06,3171952,438442,97,29624796,d,,Mobile,1
IDwtEvMwp,2017-01-16 09:14:21,9280556,438442,97,29624796,e,InternetExplorer,Desktop,1
ID264tGU7,2017-01-20 10:22:18,8737840,545406,97,29624796,b,Edge,Tablet,0
IDfbki33s,2017-01-14 01:48:40,600259,217311,97,29624796,c,Google Chrome,Mobile,1
IDhA36GJR,2017-01-19 08:18:29,356388,472772,97,29624796,c,Google Chrome,Mobile,1
ID0Xp3Gow,2017-01-20 10:15:14,8737840,957066,97,29624796,d,Edge,Tablet,0
IDd2gG7uc,2017-01-10 14:40:18,6979615,872861,97,29624796,d,InternetExplorer,Desktop,1
IDauhuSIn,2017-01-16 20:18:32,2448090,217311,97,29624796,c,Google Chrome,Mobile,1
IDx4kzJcM,2017-01-17 16:14:27,5588660,545406,97,29624796,a,,Mobile,1
IDd5a12mq,2017-01-13 07:12:17,278729,903741,97,29624796,c,Google Chrome,Mobile,1
IDoua67qx,2017-01-19 13:02:04,1301503,217311,97,29624796,a,Google Chrome,Mobile,1
IDmcO3dnJ,2017-01-14 08:47:14,8839315,854207,97,29624796,c,InternetExplorer,Desktop,1
IDL1w45VD,2017-01-20 10:22:18,8737840,611099,97,29624796,b,Mozilla,Desktop,0
IDBJetoqo,2017-01-16 16:19:40,7645578,473731,277,23981625,c,InternetExplorer,,1
IDc8z9x77,2017-01-15 23:40:36,29981,411700,277,76485796,c,Google Chrome,,1
IDsoVZyii,2017-01-11 02:16:57,568520,285612,277,37236044,a,Mozilla,Desktop,0
IDARPyoWw,2017-01-13 10:25:10,6649228,556360,277,46148550,a,Mozilla,Desktop,0
IDw1XuT2p,2017-01-19 09:18:27,2998912,987531,277,48626108,d,InternetExplorer,Desktop,1
IDPMKLggK,2017-01-14 16:02:52,1831092,195822,277,87807327,b,Mozilla Firefox,Desktop,0
IDQGOErKr,2017-01-11 14:17:58,6598149,593309,277,1185845,e,IE,Mobile,0
ID8texHo8,2017-01-19 08:24:51,8860532,7077,277,96190219,b,Firefox,Mobile,0
IDBHDjZnB,2017-01-11 13:22:16,,7077,277,96190219,c,Google Chrome,,1
IDDEHbkxF,2017-01-16 14:16:49,6955630,430225,277,76485796,c,InternetExplorer,Desktop,1
IDA84EL2J,2017-01-10 12:41:03,52277,730976,277,62040399,b,Mozilla Firefox,Desktop,0
IDQVr2oHq,2017-01-13 08:18:07,3456148,953899,277,17488931,c,InternetExplorer,Desktop,1
IDLSUJTb7,2017-01-14 06:23:55,1539278,844715,277,76485796,d,Google Chrome,Mobile,1
IDtFrJee2,2017-01-15 08:43:30,9181890,430225,277,76485796,d,InternetExplorer,Desktop,1
IDQzEgpj8,2017-01-20 09:34:33,4729245,960333,277,93083104,c,InternetExplorer,Desktop,1
ID1m9mufs,2017-01-14 17:43:52,8224156,556360,277,46148550,c,Internet Explorer,Tablet,1
IDAWMMbLM,2017-01-16 08:23:08,,259275,277,76485796,b,InternetExplorer,Desktop,1
